term	translation
abdellah	abdellah
abdellatif	abdellatif
abdera	abdera
abderrahmane	abderrahmane
abderramán	abderramão
abdi	abdi
abdicación	abdicação
abdicar	abdicar
abdicó	abdicou
abdo	abdo
abdomen	abdômen / barriga / abdómen
abdominal	abdominal
abdominales	abdominais
abdominalis	abdominalis
abdou	abdou
abdoulaye	abdoulaye
abdu	abdu
abducciones	raptos
abducción	rapto / abdução
abductor	abdutor
abdul	abdul
abdulaziz	abdulaziz
abdulla	abdulla
abdullah	abdullah
abdulrahman	abdulrahman
abdur	abdur
abdus	abdus
abe	abe
abeba	abeba
abecedario	abecedário / alfabeto
abed	abed
abedul	bétula
abedules	bétulas
abegg	abegg
abeillei	abeillei
abeja	abelha
abejar	colmeal
abejas	abelhas
abejorro	mamangaba / zangão
abel	abel
abelardo	abelardo
abeliana	abeliana
abeliano	abeliano
abelianos	abelianos
abell	abell
abella	abella
abelmoschus	abelmoschus
abelson	abelson
abend	abend
abendroth	abendroth
abenteuer	abenteuer
aber	aber
abercorn	abercorn
abercrombie	abercrombie
abercromby	abercromby
aberdare	aberdare
aberdeen	aberdeen
aberdeenshire	aberdeenshire
aberforth	aberforth
abergement	abergement
abernathy	abernathy
aberraciones	aberrações
aberración	aberração
aberrans	aberrans
aberrante	aberrante
aberrantes	aberrantes
abertura	abertura
aberturas	aberturas
aberystwyth	aberystwyth
abeto	abeto
abetos	abetos
abf	abf
abg	abg
abh	abh
abhandlungen	abhandlungen
abi	abi
abid	abid
abidjan	abidjan
abierta	aberta
abiertamente	abertamente
abiertas	abertas
abierto	aberto
abiertos	abertos
abies	abies
abigail	abigail
abilene	abilene
abimael	abimael
abin	abin
abingdon	abingdon
abington	abington
abisinia	abissínia
abisinio	abissínio
abismal	abissal
abismales	abissais
abismo	abismo
abismos	abismos
abitibi	abitibi
abitur	abitur
abiyán	abidjan
abiótico	abioceno
abióticos	abióticos
abjasia	abcásia
abjuración	abjuração
abjurar	abjurar
abkco	abkco
abl	abl
ablación	ablação
abladera	enxó do tanoeiro
ablandamiento	amolecimento
ablandar	abrandar
ablandecer	abrandar
ablaqueación	ablaqueação
ablaquear	ablaquear
ablativo	ablativo
able	able
abluciones	abluções
ablución	ablução
abm	abm
abn	abn
abnegación	abnegação
abnegada	abnegada
abner	abner
abney	abney
abnormis	abnormis
abo	abo
aboard	aboard
abofetear	esbofetear
aboga	defende
abogaba	defendia
abogacía	advocacia
abogada	advogada
abogadas	advogadas
abogado	advogado
abogados	advogados
abogar	advogar
abogo	defendo
abogó	defendeu
abolicionismo	abolicionismo
abolicionista	abolicionista
abolicionistas	abolicionistas
abolición	abolição
abolida	abolida
abolido	abolido
aboliendo	abolindo
abolieron	aboliram
abolir	abolir
abolió	aboliu
abollar	amolgar
abolía	abolia
abomey	abomei
abominable	abominável / abominavel
abominables	abomináveis
abominaciones	abominações
abominación	abominação
abominar	abominar
abonable	abonável
abonado	assinante
abonados	assinantes
abonar	abonar / pagar
abondance	abondance
abono	adubo
abonos	adubos
abord	abord
aborda	aborda
abordaba	abordava
abordado	abordado
abordaje	abordagem
abordan	abordam
abordando	abordando
abordar	abordar / abalroar
abordaron	abordaram
aborde	aborde
aborden	abordem
abordó	abordou
aborigen	aborígene
aborrece	abomina
abortada	abortada
abortado	abortado
abortados	abortados
abortar	abortar
abortiva	abortiva
abortivo	abortivo
aborto	aborto
abortos	abortos
abortó	abortou
aborígenes	aborígenes
abou	abou
about	about
above	above
abovedada	abobadada
abovedado	abobadado
abovedados	abobadados
abp	abp
abpd	abpd
abr	abr
abra	abra
abracadabra	abracadabra
abraham	abraão
abrahams	abrahams
abrahámicas	abraâmicas
abramo	abramo
abramov	abramov
abrams	abrams
abramson	abramson
abramóvich	abramovich
abran	abram
abrantes	abrantes
abrasador	escaldante
abrasar	abrasar
abrasiva	abrasiva
abrasivo	abrasivo
abrasivos	abrasivos
abrasión	abrasão
abraxas	abraxas
abraza	abraça
abrazaba	abraçava
abrazada	abraçada
abrazadera	grampo
abrazaderas	grampos
abrazado	abraçado
abrazados	abraçados
abrazan	abraçam
abrazando	abraçando
abrazar	abraçar
abrazaron	abraçaram
abrazo	abraço
abrazos	abraços
abrazó	abraçou
abre	abre
abrelatas	abridor
abren	abrem
abreu	abreu
abreviaciones	abreviaturas
abreviación	abreviatura / abreviação
abreviada	abreviada
abreviadas	abreviadas
abreviado	abreviado
abreviar	abreviar
abreviatura	abreviatura / abreviação
abreviaturas	abreviaturas
abri	abri
abridged	abridged
abridor	abridor
abriendo	abrindo
abrieran	abrissem
abrieron	abriram
abrigo	abrigo / casaco
abrigos	casacos
abril	abril
abrimos	abrimos
abrir	abrir
abrirá	abrirá
abriría	abriria
abrirían	abririam
abrió	abriu
abro	abro
abroad	abroad
abrocoma	abrocoma
abrogar	ab-rogar
abrojos	abrolhos
abrojín	buzio
abroncar	enfastiar
abronia	abronia
abrumada	sobrecarregada
abrumado	oprimido
abrumador	esmagador
abrumadora	esmagadora
abrumadoramente	esmagadoramente
abrumadoras	esmagadoras
abrumar	sobrecarregar / cobrir com abundáncia / irrigar
abrupta	abrupta
abruptamente	abruptamente
abrupto	abrupto
abruptos	abruptas
abruzos	abruzos
abruzzi	abruzzi
abruzzo	abruzzo
abrí	abri
abría	abria
abrían	abriam
abs	abs
absa	absa
absceso	abcesso
abscesos	abcessos
abschied	abschied
abscisa	abscissa
abscisas	abcissas
absent	absent
absenta	absinto
absentia	absentia
absentismo	absentismo
absheron	absheron
absolución	absolvição
absolut	absolut
absoluta	absoluta
absolutamente	absolutamente
absolute	absolute
absolutepunk	absolutepunk
absolutismo	absolutismo
absolutista	absolutista
absolutistas	absolutistas
absolutivo	absolutivo
absoluto	absoluto
absolutos	absolutos
absolver	absolver
absolvió	absolveu
absorbe	absorve
absorbedor	absorvedor
absorbente	absorvente
absorbentes	absorventes
absorber	absorver
absorbida	absorvida
absorbidas	absorvidas
absorbido	absorvido
absorbidos	absorvidos
absorbiendo	absorvendo
absorbieron	absorveram
absorbió	absorveu
absorbía	absorvia
absorciones	remoções
absorción	absorção
absorto	enlevado / absorto / absorvido
absortos	enlevados / absortos / absorvidos
abstenciones	abstenções
abstención	abstenção
abstenga	abstenha
abstengan	abstenham
abstengo	abstenho
abstenido	abstido
absterger	absterger
abstergo	abstergo
abstiene	abstém
abstienen	abstêm
abstinencia	abstinência
abstraccionismo	abstraccionismo
abstracción	abstracção
abstracta	abstracta
abstractas	abstractas
abstracto	abstracto
abstractos	abstractos
abstracts	abstracts
abstraer	abstrair
abstuvieron	abstiveram
absuelta	absolvida
absuelto	absolvido
absueltos	absolvidos
absuelve	absolve
absurda	absurda
absurdamente	absurdamente
absurdas	absurdas
absurdo	absurdo
absurdos	absurdos
absurdum	absurdum
abt	abt
abteilung	abteilung
abu	abu
abubakar	abubakar
abucheado	vaiado
abucheos	vaias
abuela	vovó
abuelas	avós
abuelita	vovó
abuelito	avô
abuelo	vô / avô
abuelos	avós
abuja	abuja
abukir	abukir
abul	abul
abultada	volumosa
abultado	volumoso
abultamiento	abaulamento
abulón	abalone
abunda	abunda
abundaban	abundavam
abundan	abundam
abundance	abundance
abundancia	abundância
abundante	abundante
abundantemente	abundantemente
abundantes	abundantes
abundar	abundar
aburrida	chata
aburridas	chatas
aburrido	chato / entediado
aburridos	chatos
aburrimiento	tédio
aburrir	aborrecer / aborrir
aburrió	aborreceu
aburrá	aburrá
abusa	abusa
abusaba	abusava
abusada	abusada
abusado	abusado
abusador	abusador
abusadores	abusadores
abusados	abusados
abusan	abusam
abusando	abusando
abusar	abusar
abusaron	abusaram
abuse	abuse
abusir	abusir
abusiva	abusiva
abusivas	abusivas
abusivo	abusivo
abusivos	abusivos
abuso	abuso
abusos	abusos
abusó	abusou
abutilon	abutilon
abv	abv
abwehr	abwehr
aby	aby
abyecto	abjeto
abymes	abymes
abyssinica	abyssinica
abyssinicus	abyssinicus
abū	abū
acab	acab
acaba	acaba
acababa	acabava
acababan	acabavam
acabada	acabada
acabado	acabamento
acabados	acabamentos
acabamos	acabamos
acaban	acabam
acabando	acabando
acabar	acabar
acabaron	acabaram
acabará	acabará
acabarán	acabarão
acabaría	acabaria
acabarían	acabariam
acabasen	acabassem
acabe	acabe
acaben	acabem
acabé	terminei
acabó	acabou
acacia	acácia / acacia
acacias	acácias
acacio	acácio
acad	akkad
academia	academia
academiae	academiae
academias	colégios
academie	academie
acadia	acadia
acadio	acádio
acadios	acádios
académica	acadêmica
académicamente	academicamente
académico	acadêmico / académico
académicos	acadêmicos
académie	académie
acaecido	ocorrido
acaena	acaena
acaganeita	akaganeita
acalorada	acalorada
acaloradas	acaloradas
acalorado	acalorado
acalorados	acalorados
acalypha	acalypha
acampaban	acampavam
acampada	campismo
acampadas	acampadas
acampado	acampado
acampados	acampados
acamparon	acamparam
acampó	acampou
acanaladas	caneladas
acanalados	caneluras
acanelado	acanelado
acanthaceae	acanthaceae
acanthium	acanthium
acanthiza	acanthiza
acanthoscurria	acanthoscurria
acanthurus	acanthurus
acanthus	acanthus
acantilado	penhasco
acantilados	falésias
acapulco	acapulco
acaray	acaray
acari	acari
acaricia	acaricia
acariciando	acariciando
acariciar	acariciar
acarnania	acarnânia
acarofilia	acarofilia
acaso	causalidade / acaso / talvez
acasuso	acasuso
acatando	acatando
acaule	acaule
acaulis	acaulis
acaya	acaia
acb	acb
acc	acc
acca	acca
accademia	accademia
acceda	acesse
acceden	acedem
acceder	acessar
accedido	acessado
accediendo	acessando
accedió	concordou
accedía	acedia
accel	accel
accelerate	accelerate
accelerated	accelerated
accent	accent
accenture	accenture
accept	accept
accepted	accepted
accesibilidad	acessibilidade
accesible	acessível
acceso	acesso
accesoria	acessória
accesorio	acessório
accesorios	acessórios
accesos	acessos
access	access
accessdate	accessdate
accident	accident
accidentada	acidentada
accidentado	acidentado
accidentados	acidentados
accidental	acidental
accidentales	acidentais
accidentalmente	acidentalmente
accidentar	acidentar
accidente	acidente
accidentes	acidentes
accion	ação / acção
acciona	acciona
accionado	accionado
accionados	powered
accionaria	acionária
acciones	ações
accionista	accionista / acionista
accionistas	acionistas
accipiter	accipiter
accipitridae	accipitridae
acción	ação
acclaim	acclaim
acclaimed	acclaimed
acclimatation	acclimatation
accord	accord
accorsi	accorsi
account	account
accounting	accounting
accra	accra
accrington	accrington
accuracy	accuracy
accuse	accuse
acd	acd
ace	ace
acebo	azevinho
acecha	espreita
acechaba	perseguia
acechan	espreitam
acecho	espreita
acedera	azedas
aceguá	aceguá
aceh	aceh
aceitar	lubrificar (com óleo)
aceite	azeite / óleo
aceitera	galheta
aceites	óleos
aceitosa	oleosa
aceitoso	oleoso
aceituna	azeitona
aceitunado	azeitonado
aceitunas	azeitonas
aceituno	oliveira
acelera	acelera
aceleraciones	acelerações
aceleración	aceleração
acelerada	acelerada
aceleradas	aceleradas
acelerado	acelerado
acelerador	acelerador
aceleradora	aceleradora
aceleradoras	aceleradoras
aceleradores	aceleradores
acelerados	acelerados
aceleran	aceleram
acelerando	acelerando
acelerar	acelerar
aceleraron	aceleraram
acelere	acelere
aceleró	acelerou
acelga	acelga
acelular	acelular
acento	sotaque / acento
acentos	acentos
acentuación	acentuação
acentuada	acentuada
acentuadas	acentuadas
acentuado	acentuado
acentuados	acentuados
acentuando	acentuando
acentuar	acentuar
acentuó	acentuou
acentúa	acentua
acentúan	acentuam
acepciones	acepções
acepción	acepção / sentido
acepilladura	acepilhadura
acepta	aceita
aceptaba	aceitava
aceptaban	aceitavam
aceptabilidad	aceitabilidade
aceptable	aceitável
aceptablemente	aceitavelmente
aceptables	aceitáveis
aceptación	aceitação
aceptada	aceita
aceptadas	aceites
aceptado	aceito
aceptados	aceitos / aceites
aceptamos	aceitamos
aceptan	aceitam
aceptando	aceitando
aceptar	aceitar
aceptaran	aceitassem
aceptaron	aceitaram
aceptará	aceitará
aceptaría	aceitaria
aceptarían	aceitariam
aceptas	aceitas
acepten	aceitem
acepto	aceito
acepté	aceitei
aceptó	aceitou
acequia	acequia
acer	acer
acera	passeio
aceras	passeios
acerca	acerca / em redor
acercaba	aproximava
acercaban	aproximavam
acercamiento	aproximação
acercamientos	aproximações
acercan	aproximam
acercando	aproximando
acercar	acercar / aproximar
acercaron	aproximaram
acercarse	aproximar / vir / acercar-se
acercaría	aproximaria
acercándose	aproximando
acercó	aproximou
acero	aço
acerola	acerola
aceros	aços
acerque	aproxime
acerquen	aproximem
acertaba	acertava
acertado	acertou
acertar	acertar
acertijos	enigmas
acertó	acertou
acervo	acervo / pilha
acería	siderurgia
aces	aces
acetaldehído	acetaldeído
acetate	acetate
acetato	acetato
acetatos	acetatos
acetilcolina	acetilcolina
acetilcolinesterasa	acetilcolinesterase
acetileno	acetileno
acetilsalicílico	acetilsalicílico
aceto	vinagre
acetobacteria	acetobactéria
acetona	acetona
acetosa	acetosa
acetosella	acetosella
acetábulo	acetábulo
acevedo	acevedo
aceves	aceves
ach	ach
achard	achard
acharya	acharya
achebe	achebe
acheron	acheron
acheson	acheson
achi	achi
achicador	diminuidor / bartidouro
achicoria	chicória
achievement	achievement
achievements	achievements
achieving	achieving
achille	achille
achillea	achillea
achim	achim
achmed	achmed
achogcha	taimiá de comer / taimiá de cipó
achojcha	taimiá de comer / taimiá de cipó
achokcha	taimiá de comer / taimiá de cipó
acholi	acholi
acht	acht
achujcha	taimiá de comer / taimiá de cipó
achurar	estripar
achyranthes	achyranthes
aché	aché
aci	aci
aciago	aziago
acianthera	acianthera
acianthus	acianthus
acicate	acicate
aciclovir	aciclovir
aciculares	aciculares
acicularis	acicularis
acid	acid
acidez	acidez
acidificación	acidificação
acido	ácido
acidosis	acidose
acierta	acerta
aciertan	acertam
acierte	acerte
acierto	acerto
aciertos	acertos
acil	acil
acilación	acilação
acilio	acílio
acimut	azimute
acinetobacter	acinetobacter
acinonyx	acinonyx
acinos	acinos
acipenser	acipenser
acir	acir
acireale	acireale
acis	acis
ack	ack
acker	acker
ackerman	ackerman
ackermann	ackermann
ackles	ackles
ackroyd	ackroyd
acl	acl
aclamaciones	elogios
aclamación	aclamação
aclamada	aclamado
aclamadas	aclamadas
aclamado	aclamado
aclamados	aclamados
aclamar	aclamar
aclamaron	aclamaram
aclamó	aclamou
aclara	esclarece
aclaraciones	esclarecimentos
aclaración	esclarecimento
aclaradas	esclarecidas
aclarado	esclarecido / aclarar
aclarando	esclarecendo
aclarar	esclarecer
aclarara	esclarecesse
aclararon	esclareceram
aclare	esclareça
aclaren	esclareçam
aclaro	esclareço
aclaré	esclareci
aclaró	esclareceu
aclav	aclav
aclimatación	aclimatação
aclu	aclu
acme	acme
acmella	acmella
acn	acn
acnur	acnur
acné	acne
acobamba	acobamba
acoge	acolhe
acogedor	acolhedor
acogedora	aconchegante / acolhedora
acogen	acolhem
acoger	acolher
acogida	acolhimento
acogidas	acolhidas
acogido	acolhido
acogiendo	acolhendo
acogieron	acolheram
acolchado	acolchoado
acometida	arremetida
acomoda	acomoda
acomodado	acomodado
acomodados	abastados
acomodan	acomodam
acomodar	acomodar
acompaña	acompanha
acompañaba	acompanhava
acompañaban	acompanhavam
acompañada	acompanhada
acompañadas	acompanhadas
acompañado	acompanhado
acompañados	acompanhados
acompañamiento	acompanhamento
acompañan	acompanham
acompañando	acompanhando
acompañante	acompanhante
acompañantes	acompanhantes
acompañar	acompanhar
acompañaran	acompanhassem
acompañarlo	acompanhá-lo
acompañaron	acompanharam
acompañará	acompanhará
acompañaría	acompanharia
acompañe	acompanhe
acompañen	acompanhem
acompaño	acompanho
acompañó	acompanhou
acomys	acomys
aconcagua	aconcagua
acondicionada	acondicionada
acondicionado	condicionado
acondicionador	condicionador
acondicionados	acondicionados
acondicionamiento	condicionamento
acondicionar	acondicionar
aconitum	aconitum
aconseja	aconselha
aconsejaba	aconselhava
aconsejaban	aconselhavam
aconsejable	aconselhável
aconsejables	aconselháveis
aconsejada	aconselhada
aconsejado	aconselhado
aconsejados	aconselhados
aconsejan	aconselham
aconsejar	aconselhar
aconsejaron	aconselharam
aconsejo	aconselho
aconsejó	aconselhou
acontecer	acontecer / suceder / ter lugar
acontecimiento	acontecimento / evento
acontecimientos	eventos
acontista	acontista
acopio	recolhimento
acoplado	reboque
acoplador	acoplamento
acoplados	reboques
acoplamiento	ligação / acoplamento
acoplamientos	ligações
acorazado	couraçado
acorazar	couraçar / blindar
acordaba	lembrava
acordadas	acordadas
acordado	acordado
acordados	acordados
acordamos	concordamos
acordar	acordar / lembrar
acordaron	concordaram
acordarse	lembrar-se
acorde	acorde
acordeones	acordeões
acordeonista	sanfoneiro
acordes	acordes
acordeón	sanfona / acordeão
acorn	acorn
acorralada	encurralada
acorralado	encurralado
acorralados	encurralados
acorralar	encurralar
acorta	encurta
acortada	encurtada
acortado	encurtado
acortamiento	encurtamento
acortando	encurtando
acortar	encurtar
acortó	encurtou
acorus	acorus
acosada	assediada
acosado	assediado
acosador	perseguidor
acosadores	perseguidores
acosar	assediar / acossar
acoso	assédio
acosta	acosta
acostada	deitada
acostado	deitado
acostados	deitados
acostar	deitar / acostar
acostarse	deitar
acostumbrada	acostumada
acostumbradas	acostumadas
acostumbrado	acostumado
acostumbrados	acostumados
acostumbran	costumam
acostumbrar	habituar / acostumar
acostumbraron	acostumaram
acostumbrarse	acostumar
acostumbró	acostumou
acostó	deitou
acosó	assediou
acoustics	acoustics
acp	acp
acqua	acqua
acquaviva	acquaviva
acqui	acqui
acquisition	acquisition
acr	acr
acragas	acragas
acre	acre
acreditación	acreditação
acreditada	acreditada
acreditadas	acreditadas
acreditados	acreditados
acreditar	creditar depositar dinheiro
acredite	ateste
acrediten	atestem
acreedor	credor / cerdor
acreedores	credores
acres	acres
acribillar	crivar
acrididae	acrididae
acridotheres	acridotheres
acris	acris
acristalada	vidrada
acristaladas	envidraçadas
acritud	acrimonia
acro	acro
acrobacia	acrobacia
acrobacias	acrobacias
acrobasis	acrobasis
acrobat	acrobat
acrobática	acrobática
acrobáticas	acrobáticas
acrobático	acrobático
acrobáticos	acrobáticos
acrocephalus	acrocephalus
acrocomia	acrocomia
acrocárpico	acrocarpo
acromegalia	acromegalia
acromion	acrómio
acromyrmex	acromyrmex
acromático	fusiformes
acropolis	acropolis
across	across
acrotera	acrotério
acrotiri	acrotíri
acrílicas	acrílicas
acrílico	acrílico
acrítica	acrítica
acróbata	acrobata
acróbatas	acrobatas
acrónimo	acrónimo
acrónimos	acrónimos
acrópolis	acrópole
acróstico	acróstico
acs	acs
act	act
acta	acta
actaea	actaea
actas	actas
actes	actes
acteurs	acteurs
acth	acth
actina	actina
actinidia	actinidia
actinodura	actinodura
actinomorfas	actinomorfas
actio	actio
action	action
actions	actions
actionscript	actionscript
actitud	atitude
actitudes	atitudes
actium	ácio
activa	ativa
activaciones	ativações
activación	ativação
activada	ativada
activado	ativado
activados	ativados / activados
activamente	ativamente
activan	ativam
activando	ativando
activar	ativar
activation	activation
active	ative
activeusers	activeusers
activex	activex
actividad	atividade
actividades	atividades
activision	activision
activismo	ativismo
activista	ativista
activistas	ativistas
activo	ativo
activos	ativos
acto	ato
acton	acton
actor	ator / actor
actores	atores
actors	actors
actos	atos
actrices	atrizes
actriz	actriz / atriz
acts	acts
actuaba	agia
actuaban	agiam
actuaciones	atuações / actuações
actuación	atuação
actuado	agido
actuador	atuador
actual	atual
actuales	atuais
actualice	atualize
actualicen	atualizem
actualidad	atualidade / actualidade
actualidades	actualidades
actualiza	atualiza
actualizable	atualizável
actualizaciones	atualizações
actualización	atualização
actualizada	atualizada
actualizadas	atualizadas
actualizado	atualizado
actualizados	atualizados
actualizando	atualizando
actualizar	atualizar
actually	actually
actualmente	atualmente
actuando	atuando
actuar	atuar
actuara	agisse
actuaron	agiram
actuaría	agiria
actuarían	agiriam
actus	actus
actué	agi
actuó	agiu
actínidos	actinídeos
actúa	age
actúan	agem / atuam
actúo	ajo
acu	açu
acuarela	aquarela / aguarela
acuarelas	aguarelas
acuario	aquario / aquário
acuariofilia	aquarismo
acuarios	aquários
acuaristas	aquaristas
acuartelamiento	aquartelamento
acuatizaje	amerissagem / amaragem
acuchillado	esfaqueado
acuciante	premente
acudir	ir / chegar / comparecer
acudía	ia / chegava / comparecia
acueducto	aqueduto
acueductos	aquedutos
acuerdo	acordo
acuerdos	acordos
acuesta	deita
acuestan	deitam
acuicultura	aquicultura
aculeata	aculeata
aculeatus	aculeatus
aculturación	aculturação
acuminadas	acuminadas
acuminado	acuminado
acuminata	acuminata
acuminatum	acuminatum
acuminatus	acuminatus
acumula	acumula
acumulaba	acumulava
acumulaban	acumulavam
acumulación	acumulação / acúmulo
acumulada	acumulada
acumuladas	acumuladas
acumulado	acumulado
acumulador	acumulador
acumuladores	acumuladores
acumulados	acumulados
acumulan	acumulam
acumulando	acumulando
acumular	acumular
acumularon	acumularam
acumulativo	acumulado
acumule	acumule
acumuló	acumulou
acuosa	aquosa
acuosas	aquosas
acuoso	aquoso
acuosos	aquosos
acupalpus	acupalpus
acupuntura	acupuntura
acura	acura
acusa	acusa
acusaba	acusava
acusaban	acusavam
acusaciones	acusações
acusación	acusação
acusada	acusada
acusadas	acusadas
acusado	acusado
acusador	acusador
acusadores	acusadores
acusados	acusados
acusan	acusam
acusando	acusando
acusar	acusar
acusaremos	acusaremos
acusarnos	nos acusar
acusaron	acusaram
acusativo	acusativo
acusatorio	acusatório
acuse	acuse
acusen	acusem
acuso	acuso
acusó	acusou
acuta	acuta
acutangula	acutangula
acutifolia	acutifolia
acutirostris	acutirostris
acutissima	acutissima
acutángulo	acutângulo
acuáticas	aquáticas
acuático	aquático
acuáticos	aquáticos
acuérdense	lembrem-se
acuífero	aquífero
acuíferos	aquíferos
acuñación	cunhagem
acuñadas	cunhadas
acuñar	cunhar
acuñó	cunhou
acv	avc
acéfalo	acéfalo
acético	acético
acólito	acólito
acólitos	acólitos
acónito	acónito / acônito
acústica	acústica
acústicamente	acusticamente
acústicas	acústicas
acústico	acústico
acústicos	acústicos
ada	ada
adac	adac
adachi	adachi
adagio	adagio / adágio
adagios	adágios
adair	adair
adal	adal
adalbert	adalbert
adalberto	adalberto
adalgisa	adalgisa
adalia	adalia
adam	adam
adama	adama
adamant	adamant
adamantium	adamantium
adame	adame
adami	adami
adamo	adamo
adams	adams
adamson	adamson
adana	adana
adans	adans
adanson	adanson
adansonia	adansonia
adapta	adapta
adaptabilidad	adaptabilidade
adaptable	adaptável
adaptables	adaptáveis
adaptaciones	adaptações
adaptación	adaptação
adaptada	adaptada
adaptadas	adaptadas
adaptado	adaptado
adaptador	adaptador
adaptadores	adaptadores
adaptados	adaptados
adaptan	adaptam
adaptando	adaptando
adaptar	adaptar
adaptaron	adaptaram
adaptarse	adaptação / adaptar
adaptation	adaptation
adaptations	adaptations
adaptativa	adaptativa
adaptativas	adaptativas
adaptativo	adaptativo
adapted	adapted
adapten	adaptem
adaptive	adaptive
adaptándose	adaptando
adaptó	adaptou
adar	adar
adare	adare
adarga	adarga
adarve	adarve
adat	adat
adb	adb
adc	adc
add	add
adda	adda
addams	addams
addax	addax
addclass	addclass
addendum	adenda
adder	adder
adderley	adderley
addict	addict
addie	addie
addington	addington
addis	adis
addison	addison
addition	addition
additional	additional
address	address
addy	addy
ade	ade
adebayor	adebayor
adecco	adecco
adecuación	adequação
adecuada	adequada
adecuadamente	adequadamente
adecuadas	adequadas
adecuado	adequado
adecuados	adequados
adecuar	adequar
adel	adel
adela	adela
adelaida	adelaide
adelaide	adelaide
adelantado	adiantado
adelantamiento	ultrapassagem
adelantando	adiantando
adelantar	adiantar / antecipar
adelantaron	adiantaram
adelante	adiante
adelanto	adiantamento
adelantos	adiantamentos
adelantó	adiantou
adelardo	adelardo
adelbert	adelbert
adele	adele
adelgazamiento	emagrecimento
adelgazar	adelgaçar / emagrecer
adelheid	adelheid
adelia	adélia
adelina	adelina
adeline	adeline
adelino	adelino
adell	adell
adelphi	adelphi
ademar	ademar
ademir	ademir
además	além
aden	aden
adena	adena
adenanthos	adenanthos
adenauer	adenauer
adenda	adenda
adenia	adenia
adenilato	adenilato
adenina	adenina
adenocarcinoma	adenocarcinoma
adenocarpus	adenocarpus
adenohipófisis	adenoipófise
adenoma	adenoma
adenomas	adenomas
adenomera	adenomera
adenophora	adenophora
adenosina	adenosina
adenovirus	adenovírus
adentro	dentro
adeodato	adeodato
adept	adept
adepto	adepto
adeptos	adeptos
aderbal	aderbal
aderezo	tempero / adereço
adesivo	adessivo
adesmia	adesmia
adf	adf
adfp	apurações
adh	adh
adha	adha
adhemar	adhemar
