term	translation
adoptatus	adoptada \ adoptado
adoptio	adoção
adoptivus	adotivo
adopto	adotar
adorabilis	adorável
adorare	adorar \ idolatrar \ reverenciar
adoratio	adoração \ culto \ cultuação
adorator	adorador
adoratrix	adorador
adorea	triunfo \ vitória
adoria	triunfo \ vitória
adorior	atacar
adorno	adornar \ ornamentar \ ornar
adoro	adorar \ cultuar \ implorar \ venerar
adpareo	aparecer
adpetens	assaltante
adpetentia	apetência
adpetibilis	desejável
adpetitio	apetite
adpetitor	apaixonado
adpetitus	paixão
adprehendo	aprender
adpretio	comprar
adprimo	aprovar
adprobo	aprovar
adrabigania	azerbaijão \ azerbaijão
adrastea	adrasteia
adrastus	adrasto
adrenalina	adrenalina
adrenalinum	adrenalina \ adrenalina
adria	adria
adrianichthyidae	peixe-arroz
adrianus	adriano \ adrião
adriaticus	adriático
adrochatio	roque \ roque
adrogantia	arrogância
adrogo	arrogar
adscensus	altura
adscisco	aceitar
adsecla	seguidor
adsecula	seguidor
adsido	sentar
adsigno	atribuir
adsorbere	adsorver
adspectus	vista
adspergo	asperger
adspicio	observar
adspiro	aspirar
adstrigens	adstringente
adstringens	adstringente
adstructio	raciocínio
adsuesco	acostumar \ acostumar-se
adsugo	sugar
adsumo	assumir \ receber
adsurgo	absorver
adtraho	atrair
adulare	acariciar \ afagar \ mimosear
adulatio	adulação
adulescens	menino \ garoto \ guri
adulescentia	juventude \ adolescência \ adolescência
adulescentulus	homem jovem
adulta	adulta \ adulto \ maior
adulta aetas	adultez
adulter	adultério \ adúltero \ adulterino
adultera	adultério \ adúltero
adulterium	adultério \ adultério
adultum	adulta \ adulto \ maior
adultus	adulto \ maior \ adulta
adumbratim	de modo vago
adumbratio	desenho \ rascunho \ sorteio \ desenho
adumbro	rascunhar
adunare	acoplar \ reunir \ unificar
adunatio	junção \ união
adustio	sol
advelo	velar
advena	estrangeiro \ estranho \ forasteiro \ turista
adveniens	caminhante
advenio	advir \ chegar \ desenvolver
advenire	chegar \ acontecer \ conseguir
advenita	avenida
adventicius	extraordinário
adventor	visitante
adventu festum ago	acolher \ boas-vindas \ dar as boas-vindas a \ receber
adventum	chegada \ vinda \ advento
adventura	acontecimento \ evento \ ocorrência
adventure	romance de aventura
adventus	chegada \ vinda \ advento \ advento
adventus gentium	imigração
adverbium	advérbio \ advérbio
adversa	azar \ desgraça \ má sorte
adversa drogae reactio	efeito adverso
adversaria	adversário \ campeão
adversarius	adversário \ campeão \ adversária
adversitas	adversidade
adversor	contradizer \ desdizer
adversum	adversidade \ contra \ no caminho
adversus	adverso \ descontente
adverto	dirigir
advocare	apelar \ chamar \ invocar
advocaturus	advocacia
advocatus	advogado \ defensor
advocatus diaboli	advogado do diabo
advoco	advogar \ convite \ invitação
advorto	dirigir
adytum	ádito \ aditon
aeculanum	mirabella eclano
aedanus	áidano
aedes	casa \ templo \ aposento
aedes peripteros	períptero
aedicula	capela \ santuário \ quitinete \ aedicula
aedificare	construir \ construção
aedificatio	edifício \ construção \ prédio \ mansão
aedificator	arquiteto \ construtor \ empreiteiro
aedificium	edifício \ prédio \ construção \ edificação
aedifico	construir \ edificar
aedilicius	mercado
aedilis	edil \ edil
aedis	casa \ santuário \ aposento
aedituus	sacristão \ sacristão
aegaeum mare	mar egeu
aeger	doente \ enfermo \ débil
aegeus	egeu
aegidius	egídio
aegina	egina \ egina
aegirtius	gers
aegis	égide \ auspício
aegitania	idanha-a-velha
aegithalos fuliginosus	aegithalos fuliginosus
aegithalus	abelharuco \ abelheiro \ milharós
aegithus	abelharuco \ abelheiro \ milharós
aegle	egle
aegra	insalubre
aegre	dificilmente \ penosamente
aegri	doentes \ enfermos
aegrimonia	apatia \ consternação \ estupefação
aegritudo	doença \ mágoa \ indisposição
aegritudo animi	melancolia
aegror	doença
aegrota	insalubre
aegrotaticia	doentio \ enfermiço \ valetudinário
aegrotaticius	doentio \ enfermiço \ valetudinário
aegrotatio	doença
aegrotum	insalubre
aegrotus	doente \ enfermo \ insalubre
aegrum	insalubre
aegypiinae	abutre
aegyptologia	egiptologia
aegyptologista	egiptólogo
aegyptologistus	egiptólogo
aegyptologus	egiptologia \ egiptologia
aegyptopithecus	aegyptopithecus
aegyptus	egito \ egipto \ egito
aegyssos	tulcea
aelia galla placidia	gala placídia
aelia pulcheria	pulquéria
aelius	élio
aemilia	emília
aemilia bronte	emily brontë
aemilia et romania	emília-romanha
aemilianus	emiliano
aemiliensis	emiliano-romanholo
aemilius	emília \ emílio
aemilius aguinaldo	emilio aguinaldo
aemilius colombo	emilio colombo
aemilius combes	émile combes
aemilius frey	emil frey
aemilius loubet	émile loubet
aemilius michael cioran	emil cioran
aemilius welti	emil welti
aemilius zola	émile zola
aemona	liubliana \ liubliana \ ljubljana
