term	translation
a evada	fugir
a excava	cavar \ escavar \ excavar
a excreta	excretar
a executa	executar
a exila	banir \ expulsar
a fabrica	confeccionar
a face	criar \ executar
a face cercuri	circular
a face confuz	baralhar
a face de mână	confeccionar \ manufaturar
a face de oaie	fazer besteira \ foder tudo
a face masaj	massagear
a face mutre	afectar
a face recurs	apelar \ recorrer
a face să explodeze	detonar
a face un duș	tomar banho
a fi	estar
a fi citit	ler-se
a fi lecturat	ler-se
a fi profitabil	compensar
a fi situat	jazer \ ficar \ localizar-se
a filosofa	filosofar
a fixa	prender
a fluiera	assobiar
a folosi	utilizar
a fortiori	a fortiori
a fost odata	era uma vez
a fost odată	era uma vez
a fost odată în america	once upon a time in america
a freca	esfregar \ friccionar \ ungir \ untar
a frecventa	comparecer \ ir a
a fricţiona	esfregar \ friccionar
a frânge	partir \ quebrar \ dividir
a fugi	correr \ fugir
a fura	roubar
a furniza	suprir
a gaurii	cavar
a googăli	googlar \ guglar \ googlear
a greși este omenește	errar é humano
a gugăli	googlar \ guglar \ googlear
a gândi	pensar \ refletir
a găsi	encontrar
a găti	cozinhar
a ignora	preterir
a imita	imitar
a impregna	imbuir \ impregnar
a inchide	fechar \ tapar
a incânta	agradar
a insista	insistir
a inspecta	vistoriar
a intra	entrar
a juca	brincar \ jogar
a la	lavar
a lansa	arremessar
a lectura	ler
a lega	amarrar \ atar \ enfardar
a locui	habitar \ morar \ viver
a lor	deles \ seu
a lovi	acertar \ atingir \ bater \ golpear
a lua	tomar \ pegar \ tirar
a lua în considerație	considerar
a lupta	lutar
a lăsa în îngrijire	depositar
a matisa	enfardar
a matter of life and death	a matter of life and death
a mea	meu \ meus \ minha \ minhas
a medita	pensar
a merge	andar \ caminhar \ ir \ passear
a mia	milésimo
a mieuna	miar
a mirosi	cheirar
a mobila	mobiliar
a modifica	alterar \ mudar
a monta	armar
a moțăi	cochilar \ tirar soneca
a mugi	mugir
a mulțumi	agradar
a muri	morrer \ acabar \ expirar \ falecer
a mușca	morder
a mânca	comer
a mătura	varrer \ vasculhar \ vassourar
a naște	gerar \ criar \ dar à luz \ parir
a nimici	aniquilar \ desvastar
a ninge	nevar
a noastră	o nosso
a număra	contar
a o șterge	fugir
a obtine	cumprir \ efetuar
a ochi	mirar
a omorî	matar \ caçar
a omorî timpul	matar o tempo
a opri	fazer parar \ parar \ reter
a orbi	cegar \ encandear \ perder a vista \ tornar-se cego
a ostraciza	rejeitar
a patra convenție lome	convenção de lomé iv
a pierde din greutate	emagrecer \ emagrentar \ tornar-se magro
a planta	plantar
a plictisi	aborrecer \ chatear
a plivi	capinar
a ploua cu găleata	chover a cântaros \ chover a potes \ chover canivetes
a pluti	boiar \ flotuar \ flutuar
a plânge	chorar
a plăti	pagar
a politiza	politizar
a pondera	ponderar
a portuguesa	hino nacional de portugal
a posteriori	a posteriori
a potoli	controlar
a presa	apertar \ comprimer \ comprimir \ espremer
a prescurta	abreviar \ condensar
a presupune	achar \ supor
a preveni	evitar
a prezenta	vender
a prinde	apanhar \ achar \ prender
a prinde cu o rețea	aprisionar com uma rede \ enredar
a priori	a priori
a priori și a posteriori	a priori
a privi	mirar
a proba	prova
a promova	vender
a proteja	proteger
a proveni din	provir
a pune în execuție	cumprir \ executar \ levar a cabo \ realizar
a purifica	purificar
a putea citi	ler
a păstra	reter
a rafina	refinar
a rambursa	indenizar
a raspunde	responder
a rata	falhar \ fracassar
a real dead one	a real dead one
a real live one	a real live one
a realiza	cumprir \ efetuar \ realizar
a reduce la zero	zerar
a reflecta	pensar
a refuza	rejeitar
a reglementa	regular
a regăsi	achar
a repara	vistoriar
a replica	rebater
a respecta	respeitar
a respinge	rejeitar \ afastar \ rebater
a respira	respirar
a revoca	demitir
a rezista	resistir
a rezista cu	resistir
a rezona	ressoar
a reține	prender \ reter \ deter
a ridica	armar
a ridiculiza	ridicularizar
a riposta	resistir
a roade	calejar \ encalecer
a rupe	partir \ dividir \ fender
a râde	rir
a răspîndi	semear
a răsuna	ressoar
a satisface	agradar \ satisfazer
a schimba	mudar \ alterar \ trocar
a schingiui	torturar
a scrie	escrever
a scrie cu majuscule	maiuscular \ maiusculizar
a scrânti	fazer besteira \ foder tudo
a scufunda	afundar
a scuipa	cuspir
a scurta	encurtar
a se alia	associar-se
a se aprovisiona	abastecer-se \ fazer provisões \ prover-se
a se apăra	resistir
a se așeza	estar deitado \ jazer
a se bucura de	aproveitar \ desfrutar \ apreciar
a se bărbieri	barbear-se
a se chiorî	olhar
a se coace	amadurecer
a se coaliza	associar-se
a se culca	estar deitado \ jazer
a se declara de acord	concordar
a se deprinde cu	pegar o jeito
a se distra	aproveitar \ desfrutar \ apreciar
a se evapora	sumir
a se ghemui	acocorar
a se grăbi	apressar-se
a se găsi	jazer \ ficar \ localizar-se
a se inflama	inchar \ incharse \ intumescer
a se masca	disfarçar
a se naște	nascer
a se ocupa de	tratar de
a se ofili	definhar \ murchar
a se opri	deter-se \ parar
a se strica	falhar \ pifar
a se supune	obedecer \ obtemperar
a se teme	temer \ ter medo
a se târî	arrastar(-se) \ rastejar \ arrojar-se \ serpear
a se umfla|se umfla	inchar \ incharse \ intumescer
a se vinde	vender
a se îmbarca	embarcar
a se îmbunătăți	melhorar
a se întoarce	girar \ virar
a se întâmpla	acontecer \ advir \ haver
a semnifica	significar \ indicar \ querer dizer
a semăna	semear
a slăbi	emagrecer \ emagrentar \ tornar-se magro
a spera	esperar
a spinteca	dividir \ fender \ partir \ rachar
a spune	dizer
a spăla	lavar
a sta	estar \ estar de pé \ estar em pé
a sta jos	estar sentado \ sentar
a sta orizontal	estar deitado \ jazer
a sta pe gânduri	pensar
a sta în picioare	estar \ estar de pé \ estar em pé
a sta întins	estar deitado \ jazer
a stinge	extinguir
a strica	reprovar
a strânge	apanhar \ apertar \ comprimer
a strănuta	dar espirros \ espirrar
a sufla	soprar
a suge	chupar \ sugar
a supraviețui	perseverar \ sobreviver
a supăra	importunar \ maçar
a surprinde	apanhar
a susţine	afirmar \ declarar
a sălta	saltar
a săpa	cavar \ escavar \ excavar
a sări	saltar
a tale of two cities	a tale of two cities
a tempo	a tempo
a tortura	torturar
a traduce	traduzir
a trage	puxar \ tirar
a trage cu praştia	arremessar \ atirar \ jogar
a trebui	dever
a trece	passar
a treia	terceira \ terceiro \ terço
a treia convenție lome	convenção de lomé iii
a treia etapă a uniunii economice și monetare	terceira fase da uem
a treia persoană	terceiro
a treia republică franceză	terceira república francesa
a treizecea	trigésimo
a tresări	estremecer \ sobressaltar-se
a trăi	viver
a tăia	abater \ cortar \ talhar
a ucide	matar \ caçar
a uimi	espantar \ surpreender
a umili	humilhar
a urgenta	urgir \ ser urgente
a urmări	dar atenção \ prestar atenção
a urî	odiar
a utiliza	utilizar
a uza	utilizar
a varia	variar
a vedea	ver
a veni	vir
a ventila	ventilar
a verifica	conferir \ verificar
a vomita	vomitar
a vorbi	falar
a vrea	querer
a vrea să spună	querer dizer \ significar
a vâna	caçar
a zbura	voar \ volar
a zecea	décima \ décimo
a zgâria	arranhar \ rascar \ raspar
a zice	dizer
a îmbiba	imbuir
a îmbrãca	vestir
a îmbrăca	vestir
a împinge	empurrar
a împrăștia	semear
a împărți	dividir \ repartir
a înceta	cessar \ parar
a închide	prender
a încălca	cancelar
a îndepărta	afastar
a îndrepta	emendar
a îngheţa	congelar \ gelar \ refrigerar
a înjunghia	apunhalar \ apunhalhar \ esfaquear
a înota	nadar
a însoți	acompanhar
a însămânța	semear
a întemnița	prender
a întoarce	desviar
a întoarce fînul	preparar feno \ fenar
a întrebuința	utilizar
a întrerupe	cessar \ acabar \ encerrar
a întârzia	adiar \ demorar \ deter
a învesti	investir
a învinui	acusar
a şoca	estarrecer \ pasmar
a ţine	segurar \ suster \ ter
a ţinti	mirar
a ședea	estar sentado \ sentar
a șterge	enxugar
a ști	saber
a-10 thunderbolt ii	a-10 thunderbolt ii
a-12 oxcart	lockheed a-12
a-4 skyhawk	mcdonnell douglas a-4 skyhawk
a-7 corsair	a-7 corsair
a-ha	a-ha
a-rond	arroba
a-și câștiga existența	ganhar a vida
a-și câștiga traiul	ganhar a vida
a-și da duhul	bater as botas \ falecer \ ir-se
a-și da seama	compreender
aabenraa	åbenrå
aach	aach
aachen	aachen \ aquisgrano \ aquisgrana \ acquisgrano
aage niels bohr	aage niels bohr
aalenian	aaleniano \ aaleniano \ aalênio \ aaleniano
aarau	aarau
aare	rio aar
aaron	aarão \ aarão
ab actis	ab actis
ab ovo	ab ovo
ab urbe condita	ab urbe condita
aba	aba
abac	ábaco \ ábaco
abaca	abacá \ abaca
abacavir	abacavir
abaco	abaco
abacă	ábaco \ ábaco
abadan	abadan
abadia de goiás	abadia de goiás
abadiânia	abadiânia
abaetetuba	abaetetuba
abaeté	abaeté
abaiara	abaiara
abajur	abajur \ pala \ quebra-luz \ pantalha
abakaliki	abakaliki
abakan	abacã
abandon	abandono \ aborto
abandon școlar	abandono escolar
abandona	abandonar \ entregar \ cancelar
abandonare	abandono \ desamparo
abandonat	abandonado \ deserto \ desabitado
abandonator	abandonador
abandoned	abandoned
abanos	ébano \ caqui \ ébano
abashiri	abashiri
abate	abade \ abater \ abade
abatere standard	desvio padrão
abatesă	abadessa
abatiză	abatis
abator	matadouro \ abatedouro \ açougue \ abatedouro
abaþie	abadia
abaţie	abadia
abația sankt gallen	abadia de são galo
abațial	abacial
abație	abadia \ abadia
abba	abba
abbasizi	abássidas
abbeville	abbeville
abbreviation	abreviatura
abbreviatura	abreviatura
abc	abc
abces	abscesso \ abcesso \ furúnculo \ abcesso
abces pulmonar	abscesso pulmonar
abd ar-rahman iii.	abderramão iii
abd er-rahman	abd al-rahman ibn abd allah al-rhafiqi
abdera	abdera
abdica	abdicar \ desistir \ exonerar
abdica de la	abdicar \ desistir \ exonerar
abdicare	abdicação \ abdicação
abdomen	abdómen \ abdômen \ barriga
abdomen uman	abdómen
abdominal	abdominal
abdon batista	abdon batista
abduce	abduzir
abductor	abdutor
abducție	abdução (lógica filosófica)
abdul-hamid al ii-lea	abd-ul-hamid ii
abdul-hamid i	abd-ul-hamid i
abdul-medjid	abd-ul-medjid
abdullah al ii-lea al iordaniei	abdullah ii da jordânia
abdullah gül	abdullah gül
abdullah i al iordaniei	abdullah i da jordânia
abecedar	cartilha \ abecedário \ cartilha
abel	abel
abel tasman	abel tasman
abelardo luz	abelardo luz
abelsonit	abelsonita
abengibre	abengibre
abensberg	abensberg
abenójar	abenójar
abeokuta	abeokuta
aberant	aberrante
aberante	aberrante
aberanță	aberração \ aberrância
aberația luminii	aberração da luz \ aberração da luz
aberație	aberração
aberație cromatică	aberração cromática
aberație cromozomală	anomalia cromossômica
aberație de sfericitate	aberração esférica
aberdeen	aberdeen \ aberdeen
aberdeen f.c.	aberdeen fc
aberdeenshire	aberdeenshire
aberystwyth	aberystwyth
abhaz	abcázio
abhazia	abecásia \ abcázia
abhază	abcázio \ abcaz \ abcásio
abhora	abominar \ detestar
abhorare	aversão \ horror \ repugnância
abia	quase não \ somente \ mal \ meramente \ abias
abidjan	abidjan \ abidjan \ abijã \ abijão
abiko	abiko
abil	hábil \ capaz
abilene	abilene
abilita	habilitar
abilitat	competente
abilitate	habilidade \ capacidade \ talento \ habilidade
abilitate profesională uzată moral	qualificação obsoleta
abilități de comunicare	prática da comunicação
abilități de negociere	prática da negociação
abilități de redactare	prática da redacção
abingdon	abingdon
abiogeneză	abiogênese \ abiogénese \ abiogênese
abiotic	abiótico
abis	abismo \ precipicio
abis marin	fundo do mar \ fundo oceânico \ mar-fundo
abisal	abissal
abisinia	abissínia
abisinian	abissínio
abisiniană	abissínio
abitație	habitação
abiu	abiu
abject	desprezível \ abjeto
abjecție	abjeção
abjura	abjurar \ renunciar
abjurare	abjuração
abla	abla
ablactare	ablactação
ablactație	ablactação
ablativ	ablativo
ablativ absolut	ablativo absoluto
ablaut	ablaut \ apofonia
ablaþiune	ablação
ablațiune	ablação \ ablação
ablefarie	ablefaria
abluþiune	ablução
abluțiune	ablução
abn amro	abn amro
abnega	abnegar
abnegare	abnegação
abnegaþie	abnegação
abnegație	abnegação
aboli	abolir \ suprimir
abolire	abolição
abolirea sclaviei	abolição
aboliþionist	abolicionista
aboliţionismul	abolicionismo
aboliționism	abolicionismo \ abolicionismo
aboliționist	abolicionista
aboliționistă	abolicionista
abolițiune	abolição
abolla	abolla
abomey	abomey
abominabil	abominável \ execrável
abominațiune	abominação
abona	assinar \ subscrever \ inscrever
abonament	assinatura \ subscrição \ inscrição
abonament edge	inscrição de borda \ subscrição edge
abonare	subscrever \ assinar
abonat	assinante \ subscritor
abonat la serviciul de generare liste	assinante do list builder \ subscritor do list builder
abong-mbang	abong-mbang
abook	abook
abordabil	acessível \ abordável \ afável
abordaj	abordagem
abordare	abordagem \ abordagem
aborigen	aborígine \ aborígene
abortiv	abortivo \ amblótico
about-distro	about-distro
abracadabra	abracadabra
abracadabrant	extravagante
abraham lincoln	abraham lincoln
abraham maslow	abraham maslow
abrantes	abrantes
abraza	desgastar
abraziune	abrasão
abraziv	abrasivo \ abrasivo
abre campo	abre campo
abreulândia	abreulândia
abrevia	abreviar \ encurtar
abreviat	abreviado
abreviativ	abreviativo
abreviator	abreviador
abreviație	abreviatura \ abreviação
abreviere	abreviatura \ abreviação \ abreviatura
abroga	revogar \ anular \ declarar sem efeito
abrogabil	ab-rogável
abrogabilă	ab-rogável
abrogare	ab-rogação \ revogação
abrogarea regulamentelor ce impun controale ale operațiunilor de piață	desregulamentação
abrogație	ab-rogação
abrotanella	abrotanella
abrucena	abrucena
abrud	abrud
abrupt	abrupto \ íngreme \ abruptamente
abrus	abrus
abrutiza	embrutar \ embrutecer
abruzzi	abruzos
abruzzo	abruzos
abs	abs
abscisa	abscissa
abscisă	abscissa \ abscissa
absciziune	abcisão \ abscisão
abscons	obscuro
absent	ausente \ inexistente
absent de la birou	ausência temporária \ ausente do trabalho \ fora do escritório
absenta	ausentar
absenteism	absentismo \ absenteísmo
absenteism la serviciu	absentismo
absenteist	ausente
absentă	ausente \ ausência \ falta
absenţă	ausência
absență	absenteísmo \ ausência \ falta
absidă	abside \ abside \ ábside
absint	absinto \ artemísia \ absinto
absolut	absoluto \ absolutamente \ totalmente \ absoluto \ absoluto
absolutism	absolutismo \ absolutismo \ absolutismo
absolutism luminat	despotismo esclarecido \ despotismo esclarecido
absolutist	absolutista
absolutizare	absolutização
absoluțiune	absolvição
absolvi	absolver
absolvire	absolvição
absorbant	absorvente \ absorvedor
absorbanță	absorvência \ absorbância
absorbi	absorver
absorbibil	absorvível
absorbire	absorção
absorbit	absorvido
absorbită	absorvido
absorbție	absorção \ absorção \ absorção (química)
abstatt	abstatt
abstinență	abstinência \ abstinência
abstract	abstrato
abstracție	abstração
abstracționism	abstracionismo \ abstraccionismo
abstrus	abstruso
absurd	absurdo \ ridículo \ absurdidade \ absurda \ absurdismo
absurditate	besteira \ absurdo \ disparate
abtsbessingen	abtsbessingen
abtsgmünd	abtsgmünd
abu dhabi	abu dhabi \ abu dhabi
abu simbel	abu simbel
abu-bekr	abu bakr
abuja	abuja \ abuja
abulie	abulia \ abulia
abunda	abundar \ ser abundante
abundent	abundante
abundenţă	abundância
abundență naturală	abundância natural
abur	vapor \ vapor d’água \ vapor d'água \ vapor de água \ vapor de água
aburca	erguer
abuz	abuso \ excesso \ abuso de poder
abuz asupra copilului	abuso infantil \ abuso infantil
abuz de drept	abuso de direito
abuz de informație preferențială	operações de iniciados
abuz de putere	abuso de poder
abuz de încredere	abuso de confiança
abuz domestic	violência doméstica
abuz fizic	abuso
abuz sexual	abuso \ abuso sexual
abuz sexual asupra copiilor	abuso sexual de menor
abuz verbal	abuso
abuza	abusar
abuziv	abusivo \ abusiva
abuzuri sexuale	agressão sexual
abyan	abyan
abydos	abidos
abyssiniana	gato abissínio
abéché	abéché
abătut	doente \ triste
abătută	triste
abţinere	abstenção
abțiguit	bêbado \ bêbada
abține	abster-se \ privar-se
abținere vot	abstencionismo
ac	agulha \ alfinete \ ponteiro
ac cu gămălie	alfinete
ac de cusut	agulha
ac de siguranță	alfinete \ alfinete de ama \ alfinete de dama
ac indicator	ponteiro
acadea	pirulito \ pirulito
academia de științe a franței	académie des sciences
academia franceză	academia francesa
academia pontificală ecleziastică	pontifícia academia eclesiástica
academic	académico \ acadêmico
academician	acadêmico
academiciană	acadêmica
academie	academia \ academia \ academia
academism	academicismo
academos	academos
acaiaca	acaiaca
acaju	caju \ acaju \ mogno \ cajueiro
acalefe	medusa
acamptopappus	acamptopappus
acanthocalycium	acanthocalycium
acanthocardia aculeata	acanthocardia aculeata
acanthocephalus	acanthocephalus
acanthocereus	acanthocereus
acanthospermum	acanthospermum
acantă	acanto \ erva-gigante \ folha de acanto
acantă or acant	acanto
acapara	abarcar
acapulco	acapulco
acarape	acarape
acaraú	acaraú
acarian	ácaro
acaricide	acaricida
acasă	casa \ em casa
acauã	acauã
acca larentia	aca larência
accel-ppp	accel-ppp
accelera	acelerar
accelerando	accelerando
accelerare	aceleração
accelerat	acelerado
accelerator	acelerador \ tecla de atalho
accelerator de dezvoltare central	acelerador de desenvolvimento básico
accelerator de dezvoltare central pentru platforma windows azure	acelerador de desenvolvimento básico da plataforma windows azure
accelerator de dezvoltare central pentru platforma windows azure pentru parteneri	acelerador de desenvolvimento básico da plataforma windows azure para parceiros
accelerator de dezvoltare extins	acelerador de desenvolvimento avançado
accelerator de dezvoltare extins pentru platforma windows azure	acelerador de desenvolvimento avançado da plataforma windows azure
accelerator de dezvoltare extins pentru platforma windows azure pentru parteneri	acelerador de desenvolvimento avançado da plataforma windows azure para parceiros
accelerator de particule	acelerador de partículas \ acelerador de partículas
accelerator soluţii	solution accelerator
acceleraţie	aceleração
accelerație gravitațională	aceleração da gravidade \ aceleração da gravidade
accelerație liniară	aceleração \ aceleração
accelerație unghiulară	aceleração angular
accelerometru	acelerómetro \ acelerômetro \ acelerómetro
accent	acento \ tonicidade \ sotaque \ sotaque
accent ascuțit	acento agudo
accent grav	acento grave
accentuare	acentuação
accept	aceitação
accepta	aceitar \ topar \ admitir
acceptabil	aceitável \ razoável
acceptabilitate	aceitabilidade
acceptanță	aceitação \ resignação
acceptare	aceitação \ aceitar
accepție	aceitação
accerciser	accerciser
acces	acesso \ aceder \ acessar \ aceder (a)
accesa	aceder \ acesso
accesibil	acessível \ abordável \ afável
accesibilitate	acessibilidade
accesorii ale vehiculului	equipamento do veículo
accesorii de călărie	rédea
accesoriu	acessório
accident	acidente \ sinistro \ acaso \ choque
accidental	acidental \ fortuito
accidentală	acidental
accize	imposto sobre consumos específicos
acciză	alfândega
accor	accor
accra	acra \ acra \ accra
ace of base	ace of base
acea	aquela \ aquele \ aquilo
aceasta	esta \ este \ isto
această	isto \ este \ esta
aceea	aquela \ aquele \ essa
acefalie	acefalia \ acefalismo \ acefalia
aceh	achém
acei	aqueles
acel	esse \ aquele \ aquela
acela	aquele \ esse \ aquela
același	mesmo \ o mesmo \ próprio
acele	aqueles
acer	bordo \ bordo
acerola	acerola
aceră	águia
acest	isto \ este \ esta
acesta	este \ isto \ esta
acetabul	acetábulo
acetaldehidă	acetaldeído \ etanal \ etanal
acetamidă	acetamida \ etanamida \ acetamida
acetat	acetato \ acetato
acetat de amil	acetato de amila
acetat de butil	etanoato de butila
acetat de celuloză	acetato de celulose
acetat de etil	acetato de etila
acetat de hidrogen	ácido acético \ ácido etanoico
acetat de plumb	acetato de chumbo
acetat de sodiu	acetato de sódio
acetazolamidă	acetazolamida
acetic	acético
acetil-coa	acetilcoenzima a
acetilcolină	acetilcolina
acetilenic	acetilénico \ acetilênico
acetilenă	acetileno \ acetileno
acetonă	acetona \ acetona
acești	esses \ estes
achberg	achberg
achenã	aquénio \ aquênio
achenă	aquênio \ aquénio
achern	achern
achernar	achernar
acheron	aqueronte
acheulean	acheulense
achilie	aquilia
achille varzi	achille varzi
achita	absolver \ quitar
achitare	absolvição
achitare datorie publică	amortização da dívida
achiziþie	aquisição
achiziţie publică	aprovisionamento
achiziţionarea unei licenţe	aquisição de licença \ obtenção de licenças
achiziție	aquisição
achiziție documente	aquisição de documentos
achiziție publică	aprovisionamento
achiziționare	aquisição
achslach	achslach
achstetten	achstetten
achyrocline	achyrocline
aci	aqui
aciclic	acíclico
acid	ácido \ azedo \ azeda \ ácida \ ácido \ acid
acid 2-hidroxipropanoic	ácido láctico
acid 4-aminobutanoic	4-aminobutanóico \ gaba \ ácido gama-aminobutírico
acid acetic	ácido etanoico \ ácido acético \ ácido etanoico
acid acetilsalicilic	ácido acetilsalicílico
acid aconitic	aconitato
acid acrilic	ácido acrílico
acid adipic	ácido adípico \ ácido adípico
acid anorganic	ácido inorgânico \ ácido mineral
acid arahidonic	ácido araquidônico
acid arsenic	ácido arsénico \ ácido arsênico
acid arsenios	ácido arsenioso
acid ascorbic	ácido ascórbico \ vitamina c \ ácido ascórbico
acid astatinhidric	astateto de hidrogênio
acid azotic	ácido nítrico \ ácido nítrico
acid azotos	ácido nitroso \ ácido nitroso
acid benzoic	ácido benzoico \ ácido benzoico
acid boric	ácido bórico \ ácido bórico
acid bromhidric	ácido bromídrico
acid butiric	ácido butanoico
acid carbonic	ácido carbônico \ ácido carbónico \ ácido carbónico
acid carboxilic	ácido carboxílico \ ácido carboxílico
acid carminic	ácido carmínico
acid cianhidric	cianeto de hidrogênio
acid cinamic	ácido trans-cinâmico
acid citric	ácido cítrico \ ácido cítrico
acid clorhidric	ácido clorídrico \ ácido clorídrico
acid cloric	ácido clórico \ ácido clórico
acid cloros	ácido cloroso
acid clorosulfonic	ácido clorossulfúrico
acid crotonic	ácido crotônico
acid decanoic	ácido cáprico
acid dezoxiribonucleic	adn \ dna \ ácido desoxirribonucleico \ ácido desoxirribonucléico
acid dicarboxilic	ácido dicarboxílico
acid etanoic	ácido acético \ ácido etanoico
acid fluorhidric	ácido fluorídrico \ ácido fluorídrico
acid fluorosulfonic	ácido fluorossulfúrico
acid folic	ácido fólico \ ácido fólico
acid formic	acido metanoico \ ácido fórmico \ ácido metanoico \ ácido metanóico \ ácido metanoico
acid fosforic	ácido fosfórico \ ácido fosfórico
acid fosforos	ácido fosforoso
acid ftalic	ácido ftálico
acid fulminic	ácido fulmínico
acid fumaric	ácido fumárico \ ácido fumárico
acid galic	ácido gálico
acid glutamic	ácido glutâmico
acid glutaric	ácido glutárico
acid gras	ácido graxo \ ácido gordo
acid heptanoic	ácido enântico
acid hexanoic	ácido caproico
acid hialuronic	ácido hialurônico
acid hipocloros	ácido hipocloroso \ ácido hipocloroso
acid hipofosforos	ácido hipofosforoso
acid iodic	ácido iódico
acid izoftalic	ácido isoftálico
acid jazz	acid jazz \ acid jazz \ acid jazz
acid lactic	ácido láctico
acid laptic	ácido láctico
acid lauric	ácido dodecanoico
acid lisergic	ácido lisérgico \ ácido lisérgico
acid lisergic dietilamid	lsd
acid maleic	ácido maleico
acid malic	ácido málico \ ácido málico
acid malonic	ácido malônico
acid mefenamic	ácido mefenâmico
acid metancarboxilic	ácido acético \ ácido etanoico
acid nalidixic	ácido nalidíxico
acid nucleic	ácido nucleico
acid octanoic	ácido caprílico
acid oleic	ácido oleico
acid organic	ácido orgânico
acid oxalic	ácido oxálico \ ácido oxálico
acid oxalilacetic	ácido oxaloacético
acid palmitic	ácido palmítico
acid pangamic	ácido pangâmico
acid pantotenic	ácido pantotênico
acid percloric	ácido perclórico
acid periodic	ácido periódico
acid picric	ácido pícrico \ ácido pícrico
acid pimelic	ácido pimélico
acid pirofosforic	ácido pirofosfórico
acid piruvic	ácido pirúvico
acid polilactic	poliácido láctico
acid propanoic	ácido propanoico
acid punk	acid punk
acid ribonucleic	arn \ rna \ ácido ribonucleico
acid ricinoleic	ácido ricinoleico
acid salicilic	ácido salicílico \ ácido salicílico
acid selenhidric	seleneto de hidrogênio
acid selenic	ácido selênico
acid shikimic	ácido xiquímico
acid stearic	ácido esteárico
acid succinic	ácido succínico
acid sulfhidric	gás de esgoto \ gás de ovos podres \ hidreto de enxofre
acid sulfonic	ácido sulfônico
acid sulfuric	ácido sulfúrico \ óleo de vitriolo \ ácido sulfúrico
acid sulfuros	ácido sulfuroso \ ácido sulfuroso
acid tartric	ácido tartárico \ ácido tartárico
acid tereftalic	ácido tereftálico
acid trifluorometansulfonic	ácido tríflico
acid uric	ácido úrico
acid valerianic	ácido valérico
acid wolframic	ácido túngstico
acid xenic	ácido xênico
acidificare	acidificação
acidimetru	acidímetro
aciditatea apei	acidez da água
acidoză	acidose \ acidose
acidul acetilsalicilic	ácido acetilsalicílico
acidul carboxilic	ácido carboxílico
acidul dezoxiribonucleic	ácido desoxirribonucléico \ ácido desoxirribonucleico
acidul gamma-aminobutiric	4-aminobutanóico \ gaba \ ácido gama-aminobutírico
